map,algo,exp,run,step,eval_average_episode_reward,eval_win_rate,path
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,1680000,16.313410596026472,0.0,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,1760000,16.728476821192032,0.0,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,1840000,16.085389072847665,0.0,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,1920000,16.91773099968462,0.0,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,2000000,16.331829470198652,0.0,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,2080000,16.851324503311236,0.025,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,2160000,16.944891201513688,0.0,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,2240000,16.981303505088007,0.0,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,2320000,16.84622839605877,0.024390243902439025,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,2400000,16.68290562913905,0.0,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,2480000,16.74479082539169,0.0,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,2560000,16.983485099337724,0.05,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,2640000,17.178886786502662,0.023809523809523808,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,2720000,16.40819536423839,0.05,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,2800000,18.082094976578883,0.024390243902439025,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,2880000,17.053766556291375,0.075,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,2960000,17.026365894039717,0.05,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,3040000,16.536258278145674,0.025,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,3120000,17.384602649006602,0.15,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,3200000,16.826356039104354,0.0,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,3280000,16.674213576158927,0.025,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,3360000,16.647682119205285,0.1,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,3440000,17.470943708609248,0.075,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,3520000,17.098772411565147,0.0,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,3600000,16.689900662251638,0.05,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,3680000,17.884105960264883,0.25,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,3760000,16.401531456953627,0.05,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,3840000,17.4162251655629,0.1,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,3920000,17.525538079470184,0.05,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,4000000,17.193667218543027,0.1,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,4080000,16.98245033112581,0.125,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,4160000,16.652897350993364,0.075,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,4240000,16.916087869487946,0.12195121951219512,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,4320000,16.882119205298,0.25,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,4400000,17.48153973509932,0.3,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,4480000,17.336092715231775,0.275,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,4560000,17.85612582781455,0.325,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,4640000,17.916763245033103,0.45,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,4720000,17.69648178807946,0.375,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,4800000,17.360264900662237,0.35,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,4880000,17.97495860927152,0.55,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,4960000,18.565231788079462,0.65,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,5040000,18.552524834437083,0.675,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,5120000,19.453440478113386,0.7804878048780488,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,5200000,17.966514900662244,0.575,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,5280000,18.475248344370858,0.675,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,5360000,17.931581125827805,0.5,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,5440000,17.855960264900656,0.5,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,5520000,17.76229304635761,0.55,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,5600000,18.74060430463576,0.725,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,5680000,18.91596672589242,0.7804878048780488,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,5760000,18.433071192052978,0.7,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,5840000,18.721854304635755,0.675,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,5920000,18.32508278145695,0.6,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,6000000,19.05360099337748,0.775,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,6080000,18.757160596026484,0.725,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,6160000,18.894950331125823,0.7,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,6240000,18.47669701986754,0.6,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,6320000,18.387748344370856,0.625,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,6400000,18.066763245033105,0.575,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,6480000,18.416432119205297,0.7,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,6560000,18.367963576158935,0.6,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,6640000,18.756622516556288,0.75,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,6720000,18.39511589403973,0.625,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,6800000,19.17090231788079,0.775,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,6880000,18.779304635761587,0.75,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,6960000,19.096605960264895,0.8,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,7040000,19.003352649006622,0.8,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,7120000,18.428766556291386,0.675,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,7200000,19.934354304635757,0.975,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,7280000,18.954530770473266,0.8048780487804879,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,7360000,19.23290562913907,0.85,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,7440000,18.8994619205298,0.775,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,7520000,19.13211920529801,0.825,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,7600000,19.36341059602649,0.85,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,7680000,19.495653973509935,0.9,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,7760000,19.09942052980132,0.75,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,7840000,19.487127483443704,0.85,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,7920000,19.468832781456953,0.9,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,8000000,19.21575674366015,0.8048780487804879,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,8080000,19.190852649006622,0.85,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,8160000,19.466804635761587,0.875,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,8240000,19.664486754966884,0.925,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,8320000,18.942052980132445,0.75,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,8400000,19.41440397350993,0.9,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,8480000,19.84635761589404,0.95,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,8560000,19.39225993377483,0.85,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,8640000,19.130339403973508,0.8,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,8720000,19.808609271523174,0.95,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,8800000,19.874999999999996,0.95,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,8880000,19.44279801324503,0.85,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,8960000,19.843708609271523,0.95,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,9040000,19.553021523178806,0.875,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,9120000,19.64139072847682,0.9,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,9200000,19.74387417218543,0.925,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,9280000,19.21862582781457,0.825,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
3s5z,happo,hw3_full_full_happo_3s5z,seed-00001-2026-05-31-05-20-04,9360000,19.522723509933776,0.9,results/raw/full/smac/3s5z/happo/hw3_full_full_happo_3s5z/seed-00001-2026-05-31-05-20-04/progress.txt
